"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196708","Doctor: doctor008 joins room 682311ac3eb3ec16b0bb2269","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:54 UTC 2025","","doctors.spec.ts","",""
"","190498","Doctor: doctor014 joins room 682312003eb3ec16b0bb228d","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:48 UTC 2025","","doctors.spec.ts","",""
"","198590","Doctor: doctor013 joins room 682311f23eb3ec16b0bb2287","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:56 UTC 2025","","doctors.spec.ts","",""
"","195623","Doctor: doctor010 joins room 682311c83eb3ec16b0bb2275","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:54 UTC 2025","","doctors.spec.ts","",""
"","195944","Doctor: doctor009 joins room 682311ba3eb3ec16b0bb226f","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:54 UTC 2025","","doctors.spec.ts","",""
"","179285","Doctor: doctor015 joins room 6823120e3eb3ec16b0bb2293","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:37 UTC 2025","","doctors.spec.ts","",""
"","200075","Doctor: doctor020 joins room 682312553eb3ec16b0bb22b1","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:58 UTC 2025","","doctors.spec.ts","",""
"","102721","Doctor: doctor002 joins room 6823115a3eb3ec16b0bb2245","","Thu May 15 03:33:52 UTC 2025","passed","Thu May 15 03:35:34 UTC 2025","","doctors.spec.ts","",""
"","195504","Doctor: doctor003 joins room 682311683eb3ec16b0bb224b","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:54 UTC 2025","","doctors.spec.ts","",""
"","195748","Doctor: doctor004 joins room 682311753eb3ec16b0bb2251","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:54 UTC 2025","","doctors.spec.ts","",""
"","102103","Doctor: doctor001 joins room 6823114c3eb3ec16b0bb223f","","Thu May 15 03:33:52 UTC 2025","passed","Thu May 15 03:35:34 UTC 2025","","doctors.spec.ts","",""
"","197429","Doctor: doctor017 joins room 6823122b3eb3ec16b0bb229f","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:56 UTC 2025","","doctors.spec.ts","",""
"","174559","Doctor: doctor012 joins room 682311e33eb3ec16b0bb2281","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:33 UTC 2025","","doctors.spec.ts","",""
"","190046","Doctor: doctor018 joins room 682312393eb3ec16b0bb22a5","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:48 UTC 2025","","doctors.spec.ts","",""
"","195401","Doctor: doctor005 joins room 682311833eb3ec16b0bb2257","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:53 UTC 2025","","doctors.spec.ts","",""
"","200822","Doctor: doctor019 joins room 682312473eb3ec16b0bb22ab","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:59 UTC 2025","","doctors.spec.ts","",""
"","199268","Doctor: doctor011 joins room 682311d53eb3ec16b0bb227b","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:57 UTC 2025","","doctors.spec.ts","",""
"","200903","Doctor: doctor007 joins room 6823119e3eb3ec16b0bb2263","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:59 UTC 2025","","doctors.spec.ts","",""
"","173509","Doctor: doctor006 joins room 682311913eb3ec16b0bb225d","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:31 UTC 2025","","doctors.spec.ts","",""
"","180829","Doctor: doctor016 joins room 6823121d3eb3ec16b0bb2299","","Thu May 15 02:25:38 UTC 2025","passed","Thu May 15 02:28:39 UTC 2025","","doctors.spec.ts","",""
